EXCLUIR,ID,Codigo,Nome,Categoria,Unidade
,9aaeb7bc-cca0-4f5c-80c6-014b25545ba1,2025100000_boqueiraw,10X20 Pct P/ Sache C/100,Embalagens,und
,46216140-c8b7-4ff4-b02a-d3b04a9d069c,2025300000_boqueiraw,12X20 Pct P/ Kit Molho C/100,Embalagens,und
,c3f4f522-c432-46c1-ae42-06d42f16a22d,2025400000_boqueiraw,22X16 Pct Para Lanche C/100,Embalagens,und
,5be1e476-a557-4970-88d9-3fd8d3d9f929,2025800000_boqueiraw,30X40 Sacola P C/100,Embalagens,und
,bd3c5018-bfb2-484c-a317-fd712d02c359,2025700000_boqueiraw,38X48 Sacola G C/100,Embalagens,und
,5f73ae0e-70bb-4d82-9125-5866159096dd,2026300000_boqueiraw,40X60 Pct P/Maionese C/100,Embalagens,und
,2b0824e7-6ee2-46b0-8b25-49a4bab6755a,7896098904671_boqueiraw,Água Sanitária 1L,Limpeza,L
,3d374703-427a-4e8e-b278-0fbfca18136a,000100_boqueiraw,Alcatra Porcionado,Processado,kg
,634e239a-d46f-4011-9306-967bed968d8a,9226_boqueiraw,Alcool 70°,Limpeza,und
,f6569017-913e-4789-8d83-385711596bde,000200_boqueiraw,Alface Cortada,Processado,kg
,f6b81840-441b-4432-940d-4c493a64d0c1,000300_boqueiraw,Bacon em Cubos,Processado,kg
,57cbe69f-bcfd-4822-bb38-b6313b5a816f,7898919751051_boqueiraw,Batata Palha,Bruto,kg
,bd07fd43-293d-4f1f-8c03-889023eba8d8,PRENS001_boqueiraw,Bobina Impressora,Embalagens,und
,29e79a09-123d-4231-9ae4-c0574cf864c5,PRENS002_boqueiraw,Bobina Maquininha Cartão,Embalagens,und
,4ea420a0-8bdf-4204-89f4-8a584de84e1e,000400_boqueiraw,Calabresa Fatiada,Processado,kg
,f818f25d-9a3f-4b98-9d76-d5008c8ae680,7898942816826_boqueiraw,Canudo Descartável c/100,Embalagens,und
,6a73b6bc-1e9b-48f0-8662-1a53697354e0,7891031409756_boqueiraw,Catchup,Bruto,und
